活性炭更换预警报告
==================================================

生成时间: 2025-08-01 15:09:05
数据文件: 可视化项目/7.24.csv

Logistic模型拟合结果:
  参数: A=0.806, k=0.000010, t0=1992352.6
  穿透起始时间: 1720703.8s
  预警时间: 5765420.4s
  预测饱和时间: 10317753.0s

预警事件总数: 82

预警等级统计:
  橙色: 82 次

详细预警事件:
----------------------------------------

事件 1:
  时间: 5800548.0s
  预警等级: 橙色
  穿透率: 89.1%
  吸附效率: 10.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.891达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 2:
  时间: 5809801.5s
  预警等级: 橙色
  穿透率: 93.4%
  吸附效率: 6.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.934达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 3:
  时间: 5825294.5s
  预警等级: 橙色
  穿透率: 85.3%
  吸附效率: 14.7%
  原因: 达到预警时间点(5765420.4s)，穿透率0.853达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 4:
  时间: 5833061.0s
  预警等级: 橙色
  穿透率: 91.5%
  吸附效率: 8.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.915达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 5:
  时间: 5840071.0s
  预警等级: 橙色
  穿透率: 88.0%
  吸附效率: 12.0%
  原因: 达到预警时间点(5765420.4s)，穿透率0.880达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 6:
  时间: 5889891.0s
  预警等级: 橙色
  穿透率: 90.7%
  吸附效率: 9.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.907达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 7:
  时间: 5899203.0s
  预警等级: 橙色
  穿透率: 81.1%
  吸附效率: 18.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.811达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 8:
  时间: 5906162.5s
  预警等级: 橙色
  穿透率: 81.8%
  吸附效率: 18.2%
  原因: 达到预警时间点(5765420.4s)，穿透率0.818达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 9:
  时间: 5910897.5s
  预警等级: 橙色
  穿透率: 82.5%
  吸附效率: 17.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.825达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 10:
  时间: 5918954.5s
  预警等级: 橙色
  穿透率: 97.7%
  吸附效率: 2.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.977达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 11:
  时间: 5927597.0s
  预警等级: 橙色
  穿透率: 85.2%
  吸附效率: 14.8%
  原因: 达到预警时间点(5765420.4s)，穿透率0.852达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 12:
  时间: 5962150.0s
  预警等级: 橙色
  穿透率: 81.1%
  吸附效率: 18.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.811达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 13:
  时间: 5969289.5s
  预警等级: 橙色
  穿透率: 91.1%
  吸附效率: 8.9%
  原因: 达到预警时间点(5765420.4s)，穿透率0.911达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 14:
  时间: 5977844.5s
  预警等级: 橙色
  穿透率: 81.6%
  吸附效率: 18.4%
  原因: 达到预警时间点(5765420.4s)，穿透率0.816达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 15:
  时间: 5985280.5s
  预警等级: 橙色
  穿透率: 89.4%
  吸附效率: 10.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.894达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 16:
  时间: 5992013.5s
  预警等级: 橙色
  穿透率: 81.5%
  吸附效率: 18.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.815达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 17:
  时间: 5999539.5s
  预警等级: 橙色
  穿透率: 82.7%
  吸附效率: 17.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.827达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 18:
  时间: 6006188.5s
  预警等级: 橙色
  穿透率: 83.3%
  吸附效率: 16.7%
  原因: 达到预警时间点(5765420.4s)，穿透率0.833达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 19:
  时间: 6049124.0s
  预警等级: 橙色
  穿透率: 82.4%
  吸附效率: 17.6%
  原因: 达到预警时间点(5765420.4s)，穿透率0.824达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 20:
  时间: 6055014.0s
  预警等级: 橙色
  穿透率: 83.8%
  吸附效率: 16.2%
  原因: 达到预警时间点(5765420.4s)，穿透率0.838达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 21:
  时间: 6062000.5s
  预警等级: 橙色
  穿透率: 87.7%
  吸附效率: 12.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.877达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 22:
  时间: 6071294.0s
  预警等级: 橙色
  穿透率: 83.7%
  吸附效率: 16.3%
  原因: 达到预警时间点(5765420.4s)，穿透率0.837达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 23:
  时间: 6078962.5s
  预警等级: 橙色
  穿透率: 85.0%
  吸附效率: 15.0%
  原因: 达到预警时间点(5765420.4s)，穿透率0.850达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 24:
  时间: 6085765.0s
  预警等级: 橙色
  穿透率: 95.9%
  吸附效率: 4.1%
  原因: 达到预警时间点(5765420.4s)，穿透率0.959达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 25:
  时间: 6134957.0s
  预警等级: 橙色
  穿透率: 81.5%
  吸附效率: 18.5%
  原因: 达到预警时间点(5765420.4s)，穿透率0.815达到预警阈值0.806
  建议: 建议立即更换活性炭，设备已达到预警状态

事件 26:
  时间: 6148584.0s
  预警等级: 橙色
  穿透率: 87.6%
  吸附效率: 12.4%
